11/09/2024 06:34:43 +0000 | INFO | test 1
11/09/2024 06:34:43 +0000 | CRITICAL | THIS IS CRITICAL
11/09/2024 06:34:43 +0000 | CRITICAL | THIS IS CRITICAL
11/09/2024 06:34:43 +0000 | CRITICAL | THIS IS CRITICAL
11/09/2024 06:34:43 +0000 | CRITICAL | THIS IS CRITICAL
11/09/2024 06:34:43 +0000 | CRITICAL | THIS IS CRITICAL
11/09/2024 06:40:05 +0000 | INFO | test 2
11/09/2024 06:40:05 +0000 | WARNING | THIS IS CRITICAL
11/09/2024 06:40:05 +0000 | WARNING | THIS IS CRITICAL
11/09/2024 06:40:05 +0000 | WARNING | THIS IS CRITICAL
11/09/2024 06:40:05 +0000 | WARNING | THIS IS CRITICAL
11/09/2024 06:40:05 +0000 | WARNING | THIS IS CRITICAL
